Average Precision,F1 Macro
0.9271638987629427,0.900323275862069
0.9126075156350275,0.9387923904052936
0.7578213958195751,0.8245059288537548
0.9118087699443231,0.88300395256917
0.8963492206472677,0.8715277777777777
0.8844352673504858,0.7739691159002206
0.8987488779704766,0.8835729099620968
0.8748486113845264,0.8425039123630673
0.9128799194980224,0.8482051282051281
0.9218772163155683,0.9183898538737248
0.913322283108134,0.9110473009878433
0.9355191127683952,0.8812134502923977
0.913533691671694,0.8681318681318682
0.9237767764271723,0.9266725136949864
0.876999179730917,0.900688559322034
0.9240158344064691,0.8842592592592593
0.9327368683333197,0.9126873126873126
0.8640403072603164,0.8667332667332668
0.9029831706695964,0.8509966777408637
0.9322918561745714,0.8875884727920624
0.9061775889697196,0.8487480098422348
0.9226358624781683,0.8926810899630289
0.88902432333332,0.8733333333333334
0.9390490125151488,0.9210453155407283
0.9198399572023688,0.8991477272727273
0.9269777910578223,0.8902704601334739
0.8666432742982833,0.830952380952381
0.9244110541919379,0.8963692756796205
0.8802692823928121,0.884015355713469
0.869744234256059,0.8855168442268933
0.924920919406045,0.8702380952380953
0.8576056705432661,0.8422249793217536
0.9378157271233588,0.8223684210526315
0.8824250206592705,0.8350065473592319
0.750919463508556,0.8282988871224166
0.849637471690021,0.875
0.843268365786923,0.8698795180722891
0.9357561020104423,0.9219277108433734
0.8964618490761985,0.7993311036789298
0.9107060010291108,0.8615384615384616
0.8797498191598617,0.8573305084745764
0.9260006420920065,0.8961229946524063
0.929506410924947,0.8664751804389454
0.8962976738692283,0.8709670991012534
0.8983226551365399,0.8889174815577285
0.9472922421025578,0.8820582877959928
0.9369472977129742,0.9002695417789757
0.941233041385074,0.9131313131313131
0.9375581573297118,0.9071608492263403
0.8538848423373321,0.8618340723603881
0.9024161423239094,0.8966275659824047
0.8892987043914712,0.8818041002277905
0.9101218744637001,0.8900389932647998
0.9136126277208177,0.8489971390542049
0.8422717882377794,0.8805928016937191
0.8854323241060271,0.8722089478454313
0.9547620350153251,0.9087280181249325
0.8788771516755798,0.8200638071605812
0.9540581387023375,0.9145682972467255
0.9077389457210503,0.8922645050911084
0.8244497535502153,0.8524142736854331
0.8505119203519214,0.8375928798889524
0.8715508205576129,0.8705258752964151
0.9297132757270372,0.8349939496923353
0.9109496720121207,0.8782437584552945
0.8902459100325528,0.8062941812784583
0.8824640953093601,0.8936744847192608
0.921414343288759,0.8510416666666667
0.8911787893239035,0.8866758241758241
0.8769417738648917,0.8777777777777778
0.8819535268595247,0.861796566422901
0.9595929488026931,0.8515675470264108
0.9618016532621905,0.9457205986576062
0.8996658809171841,0.8864468864468864
0.9131185389335239,0.8590247951781138
0.8874209007193606,0.8680851063829786
0.8724059208215205,0.8747474747474747
0.9398039381412908,0.8892285702941993
0.8758245515567149,0.8284863101149098
0.8824054588534238,0.9001695960530374
0.8212265832119118,0.8428367562201403
0.9518954795164066,0.9048791609667122
0.8914651384916326,0.8941009239516702
0.9351935980195047,0.8748465464883375
0.8521866520939417,0.8532345563786968
0.9079838852847208,0.8941868778529396
0.8710196412645683,0.8521478521478522
0.9057542208945426,0.824505928853755
0.8252768265849242,0.811864406779661
0.9588294608009348,0.9202586206896552
0.9297137300664232,0.9016328089962296
0.8409468678881749,0.8740253411306043
0.8086343931088286,0.796382153986471
0.8861784218205232,0.888095238095238
0.8979455114255507,0.8729729729729729
0.9210218120333806,0.8530078465562336
0.947380471473509,0.8949737556266961
0.9507752696018459,0.8858410387246697
0.8903528006514881,0.8758285461776403
0.8914833335564947,0.883446455505279
