Average Precision,F1 Macro
0.8766794671217879,0.8775847808105872
0.8655246625715906,0.8498985801217038
0.8222427522638911,0.8284555201390902
0.9028175444522359,0.8604525862068966
0.8462248613165745,0.8571822442790185
0.8607309420345551,0.8771627402157953
0.9223959594919717,0.8954802259887006
0.8716234585774512,0.900323275862069
0.9313382233576699,0.908234126984127
0.9349531921472902,0.8915750915750915
0.901298423671644,0.8834498834498834
0.9276183058944936,0.9161490683229814
0.9228490609777359,0.8576584089373267
0.9460575667802533,0.926060166727075
0.8822884226614313,0.8723021866279894
0.9385606739328222,0.8778621667532395
0.9422044089398967,0.8378876599436131
0.8420725975947545,0.8575424575424575
0.885144666164132,0.8524081517523446
0.851892427880057,0.865424430641822
0.8531060824125484,0.8445171849427169
0.9461931068790992,0.915752317028639
0.8743908452353018,0.8647365923113431
0.9368868019397851,0.8852747749931327
0.9288837940057768,0.8904596602438328
0.88378426222203,0.8806613684114368
0.8767924138615121,0.8129801712153362
0.9189116674755362,0.8808367799556434
0.8712858244237892,0.831001055763509
0.8811615862826514,0.8950500826607022
0.873637098022243,0.8622345803842264
0.7264233588436771,0.7881074899942825
0.9490717106780138,0.9219277108433734
0.9099666971737446,0.8034294472650638
0.798609241847481,0.8472727272727272
0.7989971435461847,0.7728137834318342
0.8570812585082024,0.8660714285714286
0.8885424963557094,0.8794642857142857
0.7978175537323606,0.8190196899874318
0.9125562188479033,0.7976929902395742
0.8903214949307842,0.8620628439552637
0.9191164557619703,0.9234372512904474
0.8880024953134196,0.8672576450712781
0.9012151380974098,0.8840718716030436
0.8892558545780163,0.8875282265068613
0.9227641333296688,0.8636621315192745
0.9384902845773797,0.8845811051693404
0.8375843231934101,0.8382445141065831
0.9356371679394085,0.9263488438481302
0.8281618332047966,0.8429772558212925
0.8688410187049672,0.8439716312056738
0.8782825682475123,0.8900389932647996
0.8943208004055957,0.8723404255319149
0.9098631081663001,0.8481469749762434
0.8048243690357537,0.8613006009024229
0.8843452789708964,0.8764999562056582
0.9546673754055193,0.9054268292682927
0.8428943145524808,0.7889365176566647
0.9443902662944491,0.9144878706199461
0.9048308847752911,0.8896696348925648
0.8286879136999,0.8297747789382877
0.8951888396870423,0.8616531939794778
0.888997573253388,0.8564935064935065
0.9035363876651467,0.8394975388008714
0.9268477334101791,0.8724637681159421
0.934655376131413,0.8675357993664756
0.8791671149342053,0.8811656005685855
0.8810580910320732,0.8579888299514468
0.8600002460436351,0.8625687156421789
0.882115609707926,0.8802778578059478
0.8117728569812513,0.8174818840579712
0.9264522185648035,0.857645798255013
0.9390943181066798,0.9147037978905239
0.8509825451253271,0.7921146953405018
0.91383716547428,0.8632352941176471
0.8188949462226787,0.9081481481481481
0.8522090830557427,0.8747474747474747
0.84549079625381,0.857645798255013
0.8119719802048962,0.7943285179240236
0.7922132309318828,0.8384920634920635
0.8520305175889461,0.8454036107076157
0.929418207748878,0.9115876917860473
0.8431183037299036,0.8956582633053222
0.9076519987602716,0.8866293145189181
0.845571860366349,0.8650558468201505
0.899066698093313,0.8941868778529396
0.7935245148189388,0.810184835910977
0.8802160005245341,0.8657830484827347
0.8546616908237374,0.8657830484827347
0.9434929526025104,0.9047414717871702
0.9441324044788975,0.9049865229110512
0.855783186250173,0.8788932289003865
0.8593472319470814,0.8396478739759494
0.9009987245312047,0.8900727650727651
0.8711429159728173,0.847495769586379
0.9140249384486041,0.9005912973164198
0.93694872719849,0.907468387776607
0.9402027639295126,0.9238997968855789
0.8752469446359753,0.8820048862421744
0.8664536672917336,0.8503907256333191
